
2025/06/13 (21:11:24) | ===> btop++ v.1.4.0
2025/06/13 (21:11:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/13 (21:14:21) | ===> btop++ v.1.4.0
2025/06/13 (21:14:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/13 (21:24:12) | ===> btop++ v.1.4.0
2025/06/13 (21:24:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/13 (21:24:22) | ===> btop++ v.1.4.0
2025/06/13 (21:24:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/13 (21:24:28) | ===> btop++ v.1.4.0
2025/06/13 (21:24:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/13 (21:39:07) | ===> btop++ v.1.4.0
2025/06/13 (21:39:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/13 (21:43:04) | ===> btop++ v.1.4.0
2025/06/13 (21:43:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/13 (21:43:26) | ===> btop++ v.1.4.0
2025/06/13 (21:43:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/13 (22:13:36) | ===> btop++ v.1.4.0
2025/06/13 (22:13:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/13 (22:14:08) | ===> btop++ v.1.4.0
2025/06/13 (22:14:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/13 (22:16:55) | ===> btop++ v.1.4.0
2025/06/13 (22:16:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/13 (22:17:19) | ===> btop++ v.1.4.0
2025/06/13 (22:17:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/13 (22:19:21) | ===> btop++ v.1.4.0
2025/06/13 (22:19:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
